,rf_probability
1145,0.4437035603285603
1146,0.4414166666666668
1147,0.6975
1148,0.566625
1149,0.07305357142857143
1150,0.3658333333333333
1151,0.575
1152,0.13666666666666666
1153,0.0
1154,0.009000000000000001
1155,0.0
1156,0.0
1157,0.035833333333333335
1158,0.26131779971577296
1159,0.010610119047619049
1160,0.4975
1161,0.745
1162,0.212
1163,0.5275
1164,0.12208333333333332
1165,0.35848688226977693
1166,0.06
1167,0.545
1168,0.7539285714285714
1169,0.87
1170,0.55
1171,0.25
1172,0.3153333333333334
1173,0.546
1174,0.01
1175,0.5129166666666667
1176,0.58
1177,0.23
1178,0.0
1179,0.2636615537240539
1180,0.5290833333333333
1181,0.17125
1182,0.605
1183,0.5133333333333333
1184,0.3240416666666667
1185,0.0
1186,0.6991666666666666
1187,0.04708333333333334
1188,0.57
1189,0.37
1190,0.81625
1191,0.25
1192,0.5935833333333334
1193,0.33791666666666664
1194,0.5991666666666666
1195,0.595
1196,0.41134715284715306
1197,0.5808333333333333
1198,0.065
1199,0.8125
1200,0.18483333333333335
1201,0.6083333333333334
1202,0.48
1203,0.1662154497503734
1204,0.3275
1205,0.026363197615086514
1206,0.57
1207,0.3
1208,0.9270238095238095
1209,0.0
1210,0.0
1211,0.575
1212,0.08800000000000001
1213,0.6934166666666666
1214,0.4891666666666668
1215,0.48
1216,0.97
1217,0.05
1218,0.0
1219,0.415
1220,0.555
1221,0.5516666666666666
1222,0.23703499278499277
1223,0.8070833333333334
1224,0.18953428528602947
1225,0.51
1226,0.9477272727272728
1227,0.026363197615086514
1228,0.34859523809523824
1229,0.015
1230,0.72
1231,0.11916666666666668
1232,0.38508333333333333
1233,0.51325
1234,0.25875
1235,0.0
1236,0.43559523809523815
1237,0.365
1238,0.39583333333333337
1239,0.265
1240,0.0
1241,0.5375
1242,0.6666666666666665
1243,0.25033333333333335
1244,0.03166666666666666
1245,0.42
1246,0.0
1247,0.7125
1248,0.3764583333333333
1249,0.03851510809451986
1250,0.0
1251,0.504375
1252,0.1565757575757576
1253,0.9066666666666667
1254,0.91625
1255,0.71
1256,0.19833333333333333
1257,0.0
1258,0.0
1259,0.39575000000000005
1260,0.71
1261,0.485
1262,0.345
1263,0.143316150779385
1264,0.4433333333333333
1265,0.6833333333333332
1266,0.755
1267,0.0
1268,0.0
1269,0.18638888888888888
1270,0.46
1271,0.5026071428571428
1272,0.3127094572094572
1273,0.445
1274,0.8875
1275,0.07925
1276,0.0
1277,0.765
1278,0.33375
1279,0.0
1280,0.28331547619047626
1281,0.6116666666666667
1282,0.6366666666666667
1283,0.47833333333333333
1284,0.7575
1285,0.5054464285714285
1286,0.5839166666666668
1287,0.62125
1288,0.4
1289,0.543
1290,0.4474404761904762
1291,0.4668988095238096
1292,0.0
1293,0.10166666666666666
1294,0.1391666666666667
1295,0.51
1296,0.6754166666666667
1297,0.6216666666666666
1298,0.39
1299,0.645
1300,0.4619166666666667
1301,0.6516666666666666
1302,0.34600000000000003
1303,0.7221130952380953
1304,0.0
1305,0.688
1306,0.625
1307,0.21866666666666668
1308,0.3254166666666667
1309,0.38
1310,0.82
1311,0.165
1312,0.45666666666666667
1313,0.3394166666666667
1314,0.7882738095238095
1315,0.6334285714285715
1316,0.485
1317,0.20833333333333331
1318,0.6820833333333334
1319,0.6427703032261857
1320,0.7475
1321,0.0
1322,0.0
1323,0.0
1324,0.745
1325,0.5742499999999999
1326,0.5563333333333333
1327,0.715
1328,0.4443256071047299
1329,0.8821666666666665
1330,0.35463690476190485
1331,0.31074999999999997
1332,0.315
1333,0.03
1334,0.3280615079365083
1335,0.0
1336,0.605
1337,0.8616666666666667
1338,0.745
1339,0.545
1340,0.40625
1341,0.225
1342,0.65
1343,0.66
1344,0.6028571428571429
1345,0.31
1346,0.1441959547931584
1347,0.725
1348,0.675
1349,0.605
1350,0.4633333333333334
1351,0.7992500000000001
1352,0.01
1353,0.69
1354,0.27
1355,0.4065555555555555
1356,0.0
1357,0.68
1358,0.81
1359,0.0016666666666666666
1360,0.69
1361,0.32833333333333337
1362,0.1975
1363,0.605
1364,0.0
1365,0.0010227272727272728
1366,0.04479166666666666
1367,0.51
1368,0.10791071428571428
1369,0.755
1370,0.0
1371,0.0
1372,0.5704166666666667
1373,0.0
1374,0.1725
1375,0.435
1376,0.0
1377,0.0
1378,0.0
1379,0.4075
1380,0.26969861511037985
1381,0.3912538503163503
1382,0.13023790849673203
1383,0.655
1384,0.5266666666666666
1385,0.495
1386,0.15419133644133634
1387,0.0
1388,0.735
1389,0.4854166666666667
1390,0.34
1391,0.585
1392,0.7620800865800867
1393,0.69875
1394,0.36
1395,0.615
1396,0.5098333333333334
1397,0.855
1398,0.69
1399,0.6129828643578643
1400,0.0
1401,0.6326666666666667
1402,0.15583333333333332
1403,0.56
1404,0.0
1405,0.4491666666666667
1406,0.3441666666666666
1407,0.235
1408,0.1275
1409,0.25414285714285717
1410,0.5
1411,0.21833333333333332
1412,0.5316666666666666
1413,0.19974855071963707
1414,0.4505833333333334
1415,0.23
1416,0.505
1417,0.075
1418,0.69
1419,0.0
1420,0.7491236263736263
1421,0.24666666666666667
1422,0.7725
1423,0.4825
1424,0.75125
1425,0.92375
1426,0.7858333333333333
1427,0.95
1428,0.5175
1429,0.0
1430,0.59
1431,0.345
1432,0.33
1433,0.36331150793650807
1434,0.07583333333333334
1435,0.4133333333333333
1436,0.3452777777777778
1437,0.135
1438,0.21071428571428574
1439,0.41645833333333326
1440,0.17198863636363637
1441,0.7625
1442,0.835
1443,0.09625
1444,0.125
1445,0.595
1446,0.565
1447,0.742
1448,0.79
1449,0.4030906593406594
1450,0.6334285714285715
1451,0.31074999999999997
1452,0.4196473665223666
1453,0.7375
1454,0.5539166666666666
1455,0.58
1456,0.6116666666666667
1457,0.8991666666666667
1458,0.42583333333333334
1459,0.0
1460,0.857845238095238
1461,0.285
1462,0.75
1463,0.7196666666666667
1464,0.2575
1465,0.5622619047619047
1466,0.54
1467,0.23095238095238094
1468,0.795
1469,0.5083333333333333
1470,0.805
1471,0.525
1472,0.615
1473,0.007256166128849202
1474,0.0070337301587301585
1475,0.505
1476,0.105
1477,0.155
1478,0.35316666666666663
1479,0.052000000000000005
1480,0.1985064935064935
1481,0.001
1482,0.0
1483,0.56
1484,0.0
1485,0.20467020479520476
1486,0.09113952020202021
1487,0.3533333333333333
1488,0.20219209956709958
1489,0.02
1490,0.425
1491,0.8275
